series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	466	-3.522016039	17.35311254	MLI	Mali	1	PERCENT	Percentage	0.12568	0.12545	0.1254	0.12501	0.12488	0.12396	0.12326	0.12371	0.12466	0.1242	0.12425	0.12238	0.12384	2016	0.12238	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	470	14.44617519	35.89194275	MLT	Malta	1	PERCENT	Percentage	0.72275	0.73994	0.71489	0.66724	0.5912	0.52189	0.55742	0.57693	0.61282	0.7189	0.83497	0.87488	0.7237	2016	0.87488	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	474	-60.91544135	14.56086108	MTQ	Martinique	1	PERCENT	Percentage	0.13721	0.13603	0.13529	0.13362	0.13397	0.13283	0.13302	0.13151	0.13046	0.12664	0.12704	0.12664	0.128458	2016	0.12664	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	478	-10.33187259	20.26089546	MRT	Mauritania	1	PERCENT	Percentage	0.01615	0.01607	0.01586	0.01571	0.01559	0.01543	0.01523	0.01505	0.01495	0.01494	0.01484	0.01482	0.01492	2016	0.01482	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	480	57.568022	-20.28581998	MUS	Mauritius	1	PERCENT	Percentage	0.84342	0.86471	0.88995	0.90805	0.90307	0.91023	0.91201	0.90165	0.89353	0.89464	0.85262	0.80192	0.868872	2016	0.80192	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	484	-102.5148166	23.93378032	MEX	Mexico	1	PERCENT	Percentage	0.47048	0.48223	0.49667	0.51377	0.52879	0.53497	0.54018	0.54465	0.53933	0.52758	0.53015	0.53219	0.53478	2016	0.53219	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	492	7.424214814	43.73532918	MCO	Monaco	1	PERCENT	Percentage	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	2016	5e-04	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	496	103.0728057	46.83892054	MNG	Mongolia	1	PERCENT	Percentage	0.92305	0.91781	0.91436	0.91044	0.90488	0.90087	0.89776	0.8958	0.89709	0.89907	0.90188	0.90253	0.899274	2016	0.90253	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	498	28.4650624	47.20236795	MDA	Republic of Moldova	1	PERCENT	Percentage	0.88212	0.89408	0.9035	0.90154	0.90532	0.90329	0.90275	0.89889	0.88875	0.88861	0.89649	0.88296	0.89114	2016	0.88296	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	499	19.25214024	42.78717043	MNE	Montenegro	1	PERCENT	Percentage	1.96599	1.97498	1.97038	1.96684	1.96533	1.96082	1.9571	1.95394	1.95055	1.95237	1.95433	1.95181	1.9526	2016	1.95181	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	500	-62.19261223	16.73558313	MSR	Montserrat	1	PERCENT	Percentage	0.78357	0.76555	0.74434	0.74948	0.74924	0.74217	0.76578	0.78307	0.77448	0.70765	0.63465	0.56572	0.693114	2016	0.56572	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	504	-6.281942841	31.8440131	MAR	Morocco	1	PERCENT	Percentage	0.10916	0.11313	0.11669	0.11817	0.11738	0.12222	0.12961	0.13451	0.13876	0.14553	0.14151	0.14136	0.140334	2016	0.14136	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	508	38.18479941	-14.27963886	MOZ	Mozambique	1	PERCENT	Percentage	1.47644	1.46798	1.46917	1.47232	1.47608	1.47238	1.47416	1.47446	1.4717	1.47301	1.47547	1.4777	1.474468	2016	1.4777	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	512	57.87743482	21.98805614	OMN	Oman	1	PERCENT	Percentage	0.078	0.0796	0.07995	0.08251	0.08179	0.08209	0.08093	0.08054	0.07848	0.07807	0.07631	0.07624	0.077928	2016	0.07624	Global Surface Water Explorer extraction for UN Environment	C
